Entry Number,Name,Year,Game Rating,Game Score,Total Votes
1,Portal 2, Apr 2011  ,N/A,N/A,N/A
2,Stardew Valley, Feb 2016  ,N/A,N/A,N/A
3,Terraria, May 2011  ,N/A,N/A,N/A
4,People Playground, Jul 2019  ,N/A,N/A,N/A
5,Vampire Survivors, Oct 2022  ,N/A,N/A,N/A
6,Left 4 Dead 2, Nov 2009  ,N/A,N/A,N/A
7,Hades, Sep 2020  ,N/A,N/A,N/A
8,Euro Truck Simulator 2, Oct 2012  ,N/A,N/A,N/A
9,Lethal Company, Oct 2023  ,N/A,N/A,N/A
10,Portal, Oct 2007  ,N/A,N/A,N/A
11,Garry's Mod, Nov 2006  ,N/A,N/A,N/A
12,RimWorld, Oct 2018  ,N/A,N/A,N/A
13,The Binding of Isaac: Rebirth, Nov 2014  ,N/A,N/A,N/A
14,Bloons TD 6, Dec 2018  ,N/A,N/A,N/A
15,Half-Life: Alyx, Mar 2020  ,N/A,N/A,N/A
16,Counter-Strike, Nov 2000  ,N/A,N/A,N/A
17,Slay the Spire, Jan 2019  ,N/A,N/A,N/A
18,Hollow Knight, Feb 2017  ,N/A,N/A,N/A
19,Baldur's Gate 3, Aug 2023  ,N/A,N/A,N/A
20,Mount & Blade: Warband, Mar 2010  ,N/A,N/A,N/A
21,Half-Life 2, Nov 2004  ,N/A,N/A,N/A
22,Slime Rancher, Aug 2017  ,N/A,N/A,N/A
23,Totally Accurate Battle Simulator, Apr 2021  ,N/A,N/A,N/A
24,Helltaker, May 2020  ,N/A,N/A,N/A
25,ULTRAKILL, Sep 2020  ,N/A,N/A,N/A
26,Deep Rock Galactic, May 2020  ,N/A,N/A,N/A
27,BeamNG.drive, May 2015  ,N/A,N/A,N/A
28,Pizza Tower, Jan 2023  ,N/A,N/A,N/A
29,HoloCure - Save the Fans!, Aug 2023  ,N/A,N/A,N/A
30,Resident Evil 4, Mar 2023  ,N/A,N/A,N/A
31,The Henry Stickmin Collection, Aug 2020  ,N/A,N/A,N/A
32,The Witcher® 3: Wild Hunt, May 2015  ,N/A,N/A,N/A
33,Plants vs, May 2009  ,N/A,N/A,N/A
34,Katana ZERO, Apr 2019  ,N/A,N/A,N/A
35,Subnautica, Jan 2018  ,N/A,N/A,N/A
36,Phasmophobia, Sep 2020  ,N/A,N/A,N/A
37,Stray, Jul 2022  ,N/A,N/A,N/A
38,Dead Cells, Aug 2018  ,N/A,N/A,N/A
39,Celeste, Jan 2018  ,N/A,N/A,N/A
40,Dyson Sphere Program, Jan 2021  ,N/A,N/A,N/A
41,Satisfactory, Jun 2020  ,N/A,N/A,N/A
42,OneShot, Dec 2016  ,N/A,N/A,N/A
43,Dishonored, Oct 2012  ,N/A,N/A,N/A
44,DAVE THE DIVER, Jun 2023  ,N/A,N/A,N/A
45,Undertale, Sep 2015  ,N/A,N/A,N/A
46,Resident Evil 2, Jan 2019  ,N/A,N/A,N/A
47,VPet-Simulator, Aug 2023  ,N/A,N/A,N/A
48,A Hat in Time, Oct 2017  ,N/A,N/A,N/A
49,Senren＊Banka, Feb 2020  ,N/A,N/A,N/A
50,Hotline Miami, Oct 2012  ,N/A,N/A,N/A
51,OMORI, Dec 2020  ,N/A,N/A,N/A
52,Doki Doki Literature Club!, Sep 2017  ,N/A,N/A,N/A
53,Factorio, Aug 2020  ,N/A,N/A,N/A
54,A Short Hike, Jul 2019  ,N/A,N/A,N/A
55,Risk of Rain 2, Aug 2020  ,N/A,N/A,N/A
56,South Park™: The Stick of Truth™, Mar 2014  ,N/A,N/A,N/A
57,American Truck Simulator, Feb 2016  ,N/A,N/A,N/A
58,Fallout: New Vegas, Oct 2010  ,N/A,N/A,N/A
59,Inscryption, Oct 2021  ,N/A,N/A,N/A
60,Don't Starve Together, Apr 2016  ,N/A,N/A,N/A
61,God of War, Jan 2022  ,N/A,N/A,N/A
62,Firework, Feb 2021  ,N/A,N/A,N/A
63,Brotato, Jun 2023  ,N/A,N/A,N/A
64,BattleBlock Theater®, May 2014  ,N/A,N/A,N/A
65,Tomb Raider, Mar 2013  ,N/A,N/A,N/A
66,Cats Hidden in Paris, Jul 2023  ,N/A,N/A,N/A
67,The Forest, Apr 2018  ,N/A,N/A,N/A
68,Cuphead, Sep 2017  ,N/A,N/A,N/A
69,The Walking Dead, Apr 2012  ,N/A,N/A,N/A
70,Don't Starve, Apr 2013  ,N/A,N/A,N/A
71,"Papers, Please", Aug 2013  ,N/A,N/A,N/A
72,Ori and the Will of the Wisps, Mar 2020  ,N/A,N/A,N/A
73,Oxygen Not Included, Jul 2019  ,N/A,N/A,N/A
74,Half-Life, Nov 1998  ,N/A,N/A,N/A
75,Sid Meier's Civilization® V, Sep 2010  ,N/A,N/A,N/A
76,Counter-Strike: Source, Nov 2004  ,N/A,N/A,N/A
77,Persona 4 Golden, Jun 2020  ,N/A,N/A,N/A
78,Rhythm Doctor, Feb 2021  ,N/A,N/A,N/A
79,The Wolf Among Us, Oct 2013  ,N/A,N/A,N/A
80,ATRI -My Dear Moments-, Jun 2020  ,N/A,N/A,N/A
81,Cats Hidden in Jingle Jam, Dec 2023  ,N/A,N/A,N/A
82,Life is Strange - Episode 1, Jan 2015  ,N/A,N/A,N/A
83,Persona 5 Royal, Oct 2022  ,N/A,N/A,N/A
84,PowerWash Simulator, Jul 2022  ,N/A,N/A,N/A
85,Outlast, Sep 2013  ,N/A,N/A,N/A
86,POSTAL 2, Apr 2003  ,N/A,N/A,N/A
87,STAR WARS™ Empire at War - Gold Pack, Feb 2006  ,N/A,N/A,N/A
88,Cookie Clicker, Sep 2021  ,N/A,N/A,N/A
89,Ravenfield, May 2017  ,N/A,N/A,N/A
90,Divinity: Original Sin 2 - Definitive Edition, Sep 2017  ,N/A,N/A,N/A
91,Volcano Princess, Apr 2023  ,N/A,N/A,N/A
92,Broforce, Oct 2015  ,N/A,N/A,N/A
93,The Room 4: Old Sins, Feb 2021  ,N/A,N/A,N/A
94,The Room, Jul 2014  ,N/A,N/A,N/A
95,VA-11 Hall-A: Cyberpunk Bartender Action, Jun 2016  ,N/A,N/A,N/A
96,Our Life: Beginnings & Always, Nov 2020  ,N/A,N/A,N/A
97,Crab Champions, Apr 2023  ,N/A,N/A,N/A
98,Pineapple on pizza, Mar 2023  ,N/A,N/A,N/A
99,Dying Light, Jan 2015  ,N/A,N/A,N/A
100,Castle Crashers®, Sep 2012  ,N/A,N/A,N/A
101,Grimm's Hollow, Oct 2019  ,N/A,N/A,N/A
102,There Is No Game: Wrong Dimension, Aug 2020  ,N/A,N/A,N/A
103,GRIS, Dec 2018  ,N/A,N/A,N/A
104,Sekiro™: Shadows Die Twice - GOTY Edition, Mar 2019  ,N/A,N/A,N/A
105,INSIDE, Jul 2016  ,N/A,N/A,N/A
106,Phoenix Wright: Ace Attorney Trilogy, Apr 2019  ,N/A,N/A,N/A
107,Baba Is You, Mar 2019  ,N/A,N/A,N/A
108,Half-Life 2: Episode Two, Oct 2007  ,N/A,N/A,N/A
